Model No.,Godwan,MT Stock,IB Stock,DDN Stock,DL Stock,CHD Stock,Main,Sample Line,Total
R30018152,0,0,0,0,0,0,0,0,0
R30017732,0,1,0,1,0,0,0,0,2
R30019012,0,0,0,0,0,0,0,0,0
R30019302,0,0,0,0,0,0,0,0,0
R30019712,0,1,0,1,0,0,0,0,2
R30019722,0,1,0,1,0,0,0,0,2
R30019732,0,0,0,0,0,0,0,0,0
R30019742,0,0,0,0,0,0,0,0,0
R30019744,0,1,0,0,0,0,0,0,1
R30020712,0,1,0,0,0,0,0,0,1
R30020742,0,1,0,0,0,0,0,0,1
R30018742,0,1,0,0,0,0,0,0,1
R48912743,0,0,0,1,0,0,0,0,1
R48913743,0,0,0,0,0,0,0,0,0
R22861065,0,0,0,0,0,0,0,0,0
R22865065,0,0,0,0,0,0,0,0,0
R48912303,0,1,0,1,0,0,0,0,2
R48912733,0,0,0,1,0,0,0,0,1
R48912763,0,1,0,1,0,0,0,0,2
R48913303,0,0,0,1,0,0,0,0,1
R48913733,0,0,0,0,0,0,0,0,0
R48913763,0,0,0,0,0,0,0,0,0
R30017302,0,0,0,0,0,0,0,0,0
R32148162,0,0,0,0,0,0,0,0,0
R32259173,0,0,0,0,0,0,0,0,0
R27124162,0,1,0,0,0,0,0,0,1
R27126012,0,0,0,0,0,0,0,0,0
R27125152,0,0,0,0,0,0,0,0,0
R27077102,0,0,0,0,0,0,0,0,0
R27078172,0,0,0,0,0,0,0,0,0
R27080172,0,0,0,0,0,0,0,0,0
R30024732,0,0,0,1,0,0,0,0,1
R30026152,0,0,0,0,0,0,0,0,0
R30022742,0,0,0,1,0,0,0,0,1
R30021152,0,0,0,1,0,0,0,0,1
R30021712,0,1,0,1,0,0,0,0,2
R30022152,0,1,0,0,0,0,0,0,1
R30022712,0,1,0,0,0,0,0,0,1
R30023012,0,1,0,0,0,0,0,0,1
R30023302,0,1,0,1,0,0,0,0,2
R30023712,0,1,0,1,0,0,0,0,2
R30023732,0,1,0,0,0,0,0,0,1
R30024012,0,1,0,0,0,0,0,0,1
R30024302,0,0,0,1,0,0,0,0,1
R30024712,0,0,0,1,0,0,0,0,1
R30025712,0,1,0,0,0,0,0,0,1
R30025742,0,0,0,0,0,0,0,0,0
R30026712,0,1,0,0,0,0,0,0,1
R27072012,0,0,0,0,0,0,0,0,0
R32136323,0,1,0,1,0,0,0,0,2
R27113152,0,0,0,0,0,0,0,0,0
R32259323,0,1,0,0,0,0,0,0,1
R27060742,0,0,0,1,0,0,0,0,1
R27239742,0,0,0,1,0,0,0,0,1
R27239752,0,1,0,0,0,0,0,0,1
R32976912,0,1,0,1,0,0,0,0,2
R32975912,0,0,0,1,0,0,0,0,1
R32110913,0,0,0,0,0,0,0,0,0
R12161253,0,0,0,0,0,0,0,0,0
R12164153,0,0,0,1,0,0,0,0,1
R12160253,0,0,0,0,0,0,0,0,0
R30028902,0,0,0,0,0,0,0,0,0
R30028912,0,0,0,0,0,0,0,0,0
R30008302,0,0,0,0,0,0,0,0,0
R12162153,0,0,0,0,0,0,0,0,0
R32151318,0,0,0,0,0,0,0,0,0
R30008712,0,1,0,1,0,0,0,0,2
R30008742,0,0,0,0,0,0,0,0,0
R14068036,0,0,0,0,0,0,0,0,0
R14068176,0,0,0,0,0,0,0,0,0
R14067176,0,0,0,0,0,0,0,0,0
R14067166,0,0,0,0,0,0,0,0,0
R27083712,0,0,0,0,0,0,0,0,0
R27086712,0,0,0,1,0,0,0,0,1
R30029922,0,0,0,0,0,0,0,0,0
R30029912,0,0,0,0,0,0,0,0,0
R30029902,0,0,0,1,0,0,0,0,1
R30013302,0,1,0,1,0,0,0,0,2
R30012202,0,0,0,0,0,0,0,0,0
